Image Link,Name of movie,Year of release,Certificate,Runtime (min),Genre,Rating,MetaScore,Votes,Grosses,Description,Director,Stars
"https://m.media-amazon.com/images/M/MV5BZTEzMTYwZDItODIyYy00MjRkLTljOWMtZDI0ZmNjN2JjOTEyXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_UY209_CR1,0,140,209_AL_.jpg",Ying hung boon sik,1986,A,95,"Action, Crime, Drama",7.4,78,"24,577",*****,"A reforming ex-gangster tries to reconcile with his estranged policeman brother, but the ties to his former gang are difficult to break.",John Woo,"Lung Ti, Leslie Cheung, Chow Yun-Fat, Emily Chu"
"https://m.media-amazon.com/images/M/MV5BMTQwMjcxMjc5MF5BMl5BanBnXkFtZTcwODAzNzc5MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Shelter,II) (2007,Not Rated,97,"Drama, Romance, Sport",7.6,66,"23,548",$0.14M,"When his college dreams are sidelined by family obligations, a young man finds comfort in surfing with his best friend's brother.",Jonah Markowitz,"Trevor Wright, Brad Rowe, Tina Holmes, Jackson Wurth"
"https://m.media-amazon.com/images/M/MV5BMWY2MzUyMmYtYWVjMS00NDc0LThjNjctZGM3YjFiNmFmYzM1XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY209_CR2,0,140,209_AL_.jpg",Un monstre à Paris,2011,PG,90,"Animation, Adventure, Comedy",6.7,^^^^^^,"22,163",*****,"A 3D-animated movie set in Paris in the year 1910 and centered on a monster who lives in a garden and his love for a beautiful, young singer.",Bibo Bergeron,"Matthieu Chedid, Vanessa Paradis, Gad Elmaleh, François Cluzet"
"https://m.media-amazon.com/images/M/MV5BODAwYjA4OWEtYjUzYy00ZTQzLWI2YzctNmVjYjIxYmE4YmI3XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY209_CR0,0,140,209_AL_.jpg",Appurushîdo,2004,R,101,"Animation, Action, Adventure",6.9,40,"18,399",$0.13M,"In a utopian society created at the end of the third world war, a female warrior who has been plucked from the badlands begins to see cracks in this new facade. And what does this community have planned for the rest of humankind?",Shinji Aramaki,"Ai Kobayashi, Jûrôta Kosugi, Yuki Matsuoka, Mami Koyama"
"https://m.media-amazon.com/images/M/MV5BNzUyOTgwMTA0MV5BMl5BanBnXkFtZTcwNTMwOTYyMw@@._V1_UY209_CR3,0,140,209_AL_.jpg",Cargo,2009,N/A,112,"Drama, Mystery, Sci-Fi",6.1,^^^^^^,"19,949",*****,"Dr. Laura P. takes a job on a cargo spaceship for 4 years plus 4 years back. She'll join her sister on Rhea. 44 months later, in Laura's shift, strange things happen in cargo. The crew is reanimated and the captain dies mysteriously.","Directors:Ivan Engler, Ralph Etter","Anna Katharina Schwabroh, Martin Rapold, Regula Grauwiller, Yangzom Brauen"
"https://m.media-amazon.com/images/M/MV5BMjMzYjU5OGMtMzVmMy00ZTA3LTllMjktYzVmNGQ5MmU3NGQyXkEyXkFqcGdeQXVyODMyODMxNDY@._V1_UY209_CR2,0,140,209_AL_.jpg",Holiday,2014,UA,160,"Action, Crime, Thriller",7.2,^^^^^^,"29,376",$0.71M,"A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",A.R. Murugadoss,"Akshay Kumar, Sonakshi Sinha, Freddy Daruwala, Sumeet Raghavan"
"https://m.media-amazon.com/images/M/MV5BMjA5ODk3NjE1NF5BMl5BanBnXkFtZTcwNTE3MTA0Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",The Limits of Control,2009,R,116,"Crime, Drama, Mystery",6.2,41,"20,994",$0.43M,"The story of a mysterious loner, a stranger in the process of completing a criminal job.",Jim Jarmusch,"Isaach De Bankolé, Alex Descas, Jean-François Stévenin, Óscar Jaenada"
"https://m.media-amazon.com/images/M/MV5BMTI5MTM4NTA5MV5BMl5BanBnXkFtZTcwNzc0MTU2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Zombie Strippers!,2008,R,94,"Comedy, Horror, Sci-Fi",4.1,45,"18,765",*****,A zombie epidemic spreads throughout a strip club in Nebraska.,Jay Lee,"Jenna Jameson, Robert Englund, Roxy Saint, Penny Vital"
"https://m.media-amazon.com/images/M/MV5BZmY1ZGM2ZDAtMWFkYy00NDU5LThmYTYtOWQwMGUzNzNkMzI4XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UX140_CR0,0,140,209_AL_.jpg",Tape,2001,R,86,Drama,7.2,71,"20,796",$0.49M,Three old high school friends meet in a Michigan motel room to dissect painful memories from their past.,Richard Linklater,"Ethan Hawke, Robert Sean Leonard, Uma Thurman"
"https://m.media-amazon.com/images/M/MV5BMmY0NWRhOGQtZGNlYi00YmNlLTlmZmMtMzFhY2Y0OGFmYzM3XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY209_CR1,0,140,209_AL_.jpg",The Crow: City of Angels,1996,R,84,"Action, Crime, Fantasy",4.6,^^^^^^,"21,108",$17.88M,The spirit of the Crow resurrects another man seeking revenge for the murder of his son.,Tim Pope,"Vincent Perez, Mia Kirshner, Richard Brooks, Iggy Pop"
